(-76.4822345, 42.44529983333334)
(-76.4822345, 42.445299166666665)
(-76.482235, 42.4452985)
(-76.48223483333334, 42.44529816666667)
(-76.48223483333334, 42.44529766666667)
(-76.48223483333334, 42.44529716666667)
(-76.4822345, 42.445296666666664)
(-76.48223466666667, 42.44529583333333)
(-76.4822335, 42.44529516666667)
(-76.4822325, 42.4452945)
(-76.48223133333333, 42.44529383333333)
(-76.48223033333333, 42.44529333333333)
(-76.4822295, 42.44529266666667)
(-76.482229, 42.44529166666667)
(-76.482229, 42.445291)
(-76.48222966666667, 42.445290166666666)
(-76.48222983333334, 42.44528966666667)
(-76.48222983333334, 42.44528916666667)
(-76.48223033333333, 42.445288166666664)
(-76.4822305, 42.44528733333333)
(-76.48223016666667, 42.445287)
(-76.48223, 42.445286333333335)
(-76.48222983333334, 42.44528566666666)
(-76.48222983333334, 42.445285)
(-76.48222966666667, 42.4452845)
(-76.48222883333334, 42.44528366666667)
(-76.48222816666667, 42.445283333333336)
(-76.48222733333333, 42.44528366666667)
(-76.48222716666666, 42.445283)
(-76.482227, 42.44528233333333)
